Event Name,Event Date,Venue,City,Fighter 1,BetOnline,Pinnacle,Fighter 2,BetOnline,Pinnacle,Link
Centurion FC 13: Rex Orientem,"July 21, 2023",Casa Ibarra,"Manila, Philippines",Fernando Venus,-110,,Ely Malinis Fernandez,-120,,https://fightodds.io/mma-events/5009/centurion-fc-13-rex-orientem/odds
Centurion FC 13: Rex Orientem,"July 21, 2023",Casa Ibarra,"Manila, Philippines",Elias Duran Sapo,+135,,Ernie Braca,-165,,https://fightodds.io/mma-events/5009/centurion-fc-13-rex-orientem/odds
Centurion FC 13: Rex Orientem,"July 21, 2023",Casa Ibarra,"Manila, Philippines",Mark Julian Itaas,+110,,Junifer Kimmayong,-140,,https://fightodds.io/mma-events/5009/centurion-fc-13-rex-orientem/odds
Centurion FC 13: Rex Orientem,"July 21, 2023",Casa Ibarra,"Manila, Philippines",Roel Rosauro,+395,,Carlos Eduardo,-520,,https://fightodds.io/mma-events/5009/centurion-fc-13-rex-orientem/odds
Centurion FC 13: Rex Orientem,"July 21, 2023",Casa Ibarra,"Manila, Philippines",Keishi Yagi,-200,,Reydon Romero,+160,,https://fightodds.io/mma-events/5009/centurion-fc-13-rex-orientem/odds
Cage Warriors 157: Stanton vs. Webb 2,"July 21, 2023",Indigo At The O2,"London, England",Mick Stanton,+117,+109,James Webb,-137,-130,https://fightodds.io/mma-events/4683/cage-warriors-157-stanton-vs-webb-2/odds
Cage Warriors 157: Stanton vs. Webb 2,"July 21, 2023",Indigo At The O2,"London, England",Jordan Vucenic,-1500,-2222,Brice Picaud,+850,+950,https://fightodds.io/mma-events/4683/cage-warriors-157-stanton-vs-webb-2/odds
Cage Warriors 157: Stanton vs. Webb 2,"July 21, 2023",Indigo At The O2,"London, England",Morgan Charriere,-255,-268,Diego Silva,+215,+210,https://fightodds.io/mma-events/4683/cage-warriors-157-stanton-vs-webb-2/odds
Cage Warriors 157: Stanton vs. Webb 2,"July 21, 2023",Indigo At The O2,"London, England",Daniel Skibinski,-105,+115,Madars Fleminas,-115,-137,https://fightodds.io/mma-events/4683/cage-warriors-157-stanton-vs-webb-2/odds
Cage Warriors 157: Stanton vs. Webb 2,"July 21, 2023",Indigo At The O2,"London, England",Luke Riley,-650,-765,Matheus Malta,+475,+475,https://fightodds.io/mma-events/4683/cage-warriors-157-stanton-vs-webb-2/odds
Cage Warriors 157: Stanton vs. Webb 2,"July 21, 2023",Indigo At The O2,"London, England",Harry Hardwick,-500,,Vitor Estevam,+375,,https://fightodds.io/mma-events/4683/cage-warriors-157-stanton-vs-webb-2/odds
Cage Warriors 157: Stanton vs. Webb 2,"July 21, 2023",Indigo At The O2,"London, England",Will Currie,-550,,Jorge Bueno,+400,,https://fightodds.io/mma-events/4683/cage-warriors-157-stanton-vs-webb-2/odds
Cage Warriors 157: Stanton vs. Webb 2,"July 21, 2023",Indigo At The O2,"London, England",Angus Hewett,+379,,Connor Hayes,-479,,https://fightodds.io/mma-events/4683/cage-warriors-157-stanton-vs-webb-2/odds
Cage Warriors 157: Stanton vs. Webb 2,"July 21, 2023",Indigo At The O2,"London, England",Omeil Brown,+106,,Jesse Urholin,-126,,https://fightodds.io/mma-events/4683/cage-warriors-157-stanton-vs-webb-2/odds
Cage Warriors 157: Stanton vs. Webb 2,"July 21, 2023",Indigo At The O2,"London, England",Taka Mhandu,+184,,Grant Ogborne,-214,,https://fightodds.io/mma-events/4683/cage-warriors-157-stanton-vs-webb-2/odds
Cage Warriors 157: Stanton vs. Webb 2,"July 21, 2023",Indigo At The O2,"London, England",Weslley Maia,+165,,Shirzad Qadrian,-190,,https://fightodds.io/mma-events/4683/cage-warriors-157-stanton-vs-webb-2/odds
Cage Warriors 157: Stanton vs. Webb 2,"July 21, 2023",Indigo At The O2,"London, England",Janne Elonen-Kulmala,+350,,Liam Gittins,-450,,https://fightodds.io/mma-events/4683/cage-warriors-157-stanton-vs-webb-2/odds
Cage Warriors 157: Stanton vs. Webb 2,"July 21, 2023",Indigo At The O2,"London, England",Tom Mearns,+170,,Bailey Gilbert,-200,,https://fightodds.io/mma-events/4683/cage-warriors-157-stanton-vs-webb-2/odds
Cage Warriors 157: Stanton vs. Webb 2,"July 21, 2023",Indigo At The O2,"London, England",Wesley Machado,+250,,George Tanasa,-300,,https://fightodds.io/mma-events/4683/cage-warriors-157-stanton-vs-webb-2/odds
Cage Warriors 157: Stanton vs. Webb 2,"July 21, 2023",Indigo At The O2,"London, England",Ander Sanchez,-115,,Tom Creasey,-105,,https://fightodds.io/mma-events/4683/cage-warriors-157-stanton-vs-webb-2/odds
Fame Friday Arena 1: Alberto vs Kubańczyk,"July 21, 2023",Hala Stulecia,"Wrocław, Poland",Piotr Świerczewski,,,Dariusz Kaźmierczuk,,,https://fightodds.io/mma-events/5020/fame-friday-arena-1-alberto-vs-kubanczyk/odds
Fame Friday Arena 1: Alberto vs Kubańczyk,"July 21, 2023",Hala Stulecia,"Wrocław, Poland",Elizabeth Anorue,,,Olga Sałacka,,,https://fightodds.io/mma-events/5020/fame-friday-arena-1-alberto-vs-kubanczyk/odds
One Friday Fights 26,"July 21, 2023",Lumpinee Boxing Stadium,"Bangkok, Thailand",Nat Jaroonsak,,,Lisa Kyriacou,,,https://fightodds.io/mma-events/5100/one-friday-fights-26/odds
One Friday Fights 26,"July 21, 2023",Lumpinee Boxing Stadium,"Bangkok, Thailand",Puengluang Baanramba,,,Khunponnoi Sor Sommai,,,https://fightodds.io/mma-events/5100/one-friday-fights-26/odds
One Friday Fights 26,"July 21, 2023",Lumpinee Boxing Stadium,"Bangkok, Thailand",Taiki Naito,,,Dedduanglek Tded99,,,https://fightodds.io/mma-events/5100/one-friday-fights-26/odds
LFA 163: Johns vs. Garcia,"July 21, 2023",Bell County Expo Center,"Belton, Texas, United States",Eli Johns,-240,-246,Javier Garcia,+205,+200,https://fightodds.io/mma-events/4743/lfa-163-johns-vs-garcia/odds
LFA 163: Johns vs. Garcia,"July 21, 2023",Bell County Expo Center,"Belton, Texas, United States",William Starks,-350,-354,Johnny Hopper,+285,+272,https://fightodds.io/mma-events/4743/lfa-163-johns-vs-garcia/odds
LFA 163: Johns vs. Garcia,"July 21, 2023",Bell County Expo Center,"Belton, Texas, United States",Landry Ward,-190,-184,Matheus Pereira,+165,+154,https://fightodds.io/mma-events/4743/lfa-163-johns-vs-garcia/odds
LFA 163: Johns vs. Garcia,"July 21, 2023",Bell County Expo Center,"Belton, Texas, United States",Angel Alvarez,-430,-449,Milko Tucto,+330,+330,https://fightodds.io/mma-events/4743/lfa-163-johns-vs-garcia/odds
LFA 163: Johns vs. Garcia,"July 21, 2023",Bell County Expo Center,"Belton, Texas, United States",Kevin Fernandez,-350,-320,Javier Cepeda,+275,+250,https://fightodds.io/mma-events/4743/lfa-163-johns-vs-garcia/odds
LFA 163: Johns vs. Garcia,"July 21, 2023",Bell County Expo Center,"Belton, Texas, United States",Kyler Fairchild,-110,-108,Alik Lorenz,-110,-108,https://fightodds.io/mma-events/4743/lfa-163-johns-vs-garcia/odds
LFA 163: Johns vs. Garcia,"July 21, 2023",Bell County Expo Center,"Belton, Texas, United States",Enrique Owens,-125,,Jota Ninomiya,+105,,https://fightodds.io/mma-events/4743/lfa-163-johns-vs-garcia/odds
LFA 163: Johns vs. Garcia,"July 21, 2023",Bell County Expo Center,"Belton, Texas, United States",Zumar Archer,-205,,Oseyiomon Oiyemhonlan,+175,,https://fightodds.io/mma-events/4743/lfa-163-johns-vs-garcia/odds
LFA 163: Johns vs. Garcia,"July 21, 2023",Bell County Expo Center,"Belton, Texas, United States",Ian Engbrock,-225,,John Beckett,+190,,https://fightodds.io/mma-events/4743/lfa-163-johns-vs-garcia/odds
CFFC 122: Gunnison vs. Watley,"July 20, 2023",Seminole Hard Rock Casino,"Tampa, Florida, United States",Cedric Gunnison,+110,,Robert Watley,-140,,https://fightodds.io/mma-events/5083/cffc-122-gunnison-vs-watley/odds
CFFC 122: Gunnison vs. Watley,"July 20, 2023",Seminole Hard Rock Casino,"Tampa, Florida, United States",Shamel Findley,+160,,Badmatsyren Dorzhiev,-200,,https://fightodds.io/mma-events/5083/cffc-122-gunnison-vs-watley/odds
CFFC 122: Gunnison vs. Watley,"July 20, 2023",Seminole Hard Rock Casino,"Tampa, Florida, United States",Hugh Pulley,-285,,Bryan McDowell,+225,,https://fightodds.io/mma-events/5083/cffc-122-gunnison-vs-watley/odds
CFFC 122: Gunnison vs. Watley,"July 20, 2023",Seminole Hard Rock Casino,"Tampa, Florida, United States",Max Quinones,-1000,,Tyler Howell,+700,,https://fightodds.io/mma-events/5083/cffc-122-gunnison-vs-watley/odds
CFFC 122: Gunnison vs. Watley,"July 20, 2023",Seminole Hard Rock Casino,"Tampa, Florida, United States",Brandon Lopez,-240,,Julio Cesar Chaves,+190,,https://fightodds.io/mma-events/5083/cffc-122-gunnison-vs-watley/odds
CFFC 122: Gunnison vs. Watley,"July 20, 2023",Seminole Hard Rock Casino,"Tampa, Florida, United States",William Rentz,-205,,Feraris Golden Jr.,+165,,https://fightodds.io/mma-events/5083/cffc-122-gunnison-vs-watley/odds
CFFC 122: Gunnison vs. Watley,"July 20, 2023",Seminole Hard Rock Casino,"Tampa, Florida, United States",Jesus Hernandez,+225,,Angelo Rivera Jr.,-285,,https://fightodds.io/mma-events/5083/cffc-122-gunnison-vs-watley/odds
CFFC 122: Gunnison vs. Watley,"July 20, 2023",Seminole Hard Rock Casino,"Tampa, Florida, United States",Marquez Forest,-260,,Tommy Laipply,+200,,https://fightodds.io/mma-events/5083/cffc-122-gunnison-vs-watley/odds
CFFC 122: Gunnison vs. Watley,"July 20, 2023",Seminole Hard Rock Casino,"Tampa, Florida, United States",Isaiah Sackey-El,+100,,Monte Morrison,-130,,https://fightodds.io/mma-events/5083/cffc-122-gunnison-vs-watley/odds
Fury FC 81: Rojo vs. Linhares,"July 16, 2023",Boeing Center at Tech Port,"San Antonio, Texas",Marce Rojo,+165,,Maike Linhares Galvao Amorim,-205,,https://fightodds.io/mma-events/4754/fury-fc-81-rojo-vs-linhares/odds
